Lizardmen,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,0,0,0,0,1,00:00:00
Dust Devils,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,-1,-1,-1,-364,365,00:00:00
Dust Devils,1,1,0,0,0,0,1,00:00:00
Dust Devils,1,1,0,0,0,0,1,00:00:00
Nechryaels,1,1,0,0,0,0,1,00:00:00
Dust Devils,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,0,0,0,0,1,00:00:00
Dust Devils,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,-1,-1,-1,-364,365,00:00:00
Nechryaels,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,0,0,0,0,1,00:00:00
Nechryaels,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,-1,-1,-1,-364,365,00:00:00
Nechryaels,1,1,0,0,0,0,1,00:00:00
Nechryaels,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,-1,-1,-1,-364,365,00:00:00
Lizardmen,1,1,0,0,0,0,1,00:00:00
Dust Devils,1,1,0,0,0,0,1,00:00:00
Nechryaels,1,1,0,0,0,0,1,00:00:00
Lizardmen,1,1,-1,-1,-1,-364,365,00:00:00
Lizardmen,1,1,-1,-1,-1,-364,365,00:00:00
